s	t	H	V	T	P	T_avg	P_avg
0	0.0	59.70081644355514	-665.395893500532	465.36491612937806	0.0	0.232682458064689	0.0
1	0.1	60.353416802033735	-363.44369571468195	271.9917288514822	0.0	7.938016911680485	0.0
2	0.2	60.32115137855189	-227.16253989180038	184.5061797162309	298.74364216680704	13.453083794309268	7.027549584574321
3	0.3	60.267329260872884	-196.71032056773402	164.9274928703454	0.0	17.728462853926512	16.850811350471325
4	0.4	60.26845336498985	-184.87597377473514	157.33296567330927	336.64210089271415	21.744292898354857	17.46140075884935
5	0.5	60.221240030409916	-181.2947392228607	155.0042385901456	2763.9957424322547	25.715281258865335	33.98735734974481
6	0.6	60.16215158121659	-169.65771557999167	147.49770856716134	1955.9011349647253	29.555200414583762	60.434494869926674
7	0.7000000000000001	60.09077901452113	-186.69070804600344	158.383625871175	0.0	33.36024950825883	73.8705150839632
8	0.8	60.07753967865557	-177.3293234310591	152.36702004634716	2023.8397882043485	37.241019355193934	89.12867173193202
9	0.9	60.07295910703962	-184.1267192340036	156.7266286986238	27.288916907896407	41.154249134988916	108.7108557424623
10	1.0	60.093788224752416	-173.14487074657782	149.69187900285937	551.0138637513757	44.93355266911758	114.23704558124243
11	1.1	60.0875386678413	-170.99270138370858	148.30661214700353	159.9815664293949	48.63412447053144	123.566374317394
12	1.2	60.0921151852439	-180.2992054575371	154.2824360322702	1.336285643886205	52.39754408496828	126.67454973824351
13	1.3	60.062376258039706	-180.24283970451526	154.22717430408662	47.75470125694558	56.22712332461277	134.30679825210007
14	1.4000000000000001	60.10435175000737	-169.55132551697795	147.39233198041578	0.0	59.973061155193584	137.139167182014
15	1.5	60.107491501677515	-152.41326996466194	136.39519388132496	57.99024775469265	63.489881130474714	138.96932599401896
16	1.6	60.18685510387661	-149.57099232162759	134.6219638511058	0.0	66.86975805819807	162.58950881145842
17	1.7	60.17050734992557	-155.58066962736586	138.46846496737518	815.8047581949796	70.30283383622282	166.75957357449155
18	1.8	60.19768954178784	-151.59725168835334	135.92936460819328	671.2437007066065	73.81203892922275	171.59622664740417
19	1.9000000000000001	60.17005203380677	-161.51751016815084	142.27841938352674	356.46344199348044	77.3543139506485	174.53593660306427
20	2.0	60.18446049535024	-159.41038893080125	140.9353225358373	156.28065701871017	80.8949791871697	177.93190228195786
21	2.1	60.17008300244004	-157.46105750336082	139.6750199796556	191.39241118153183	84.37460316979748	183.9093492309762
22	2.2	60.16572937125136	-152.4949554823334	136.48499629592283	117.54270730139584	87.7434610629353	184.92510841251925
23	2.3000000000000003	60.11993841712402	-143.86229549100486	130.91519223947301	943.5212340678773	91.00547165570386	201.2098051397838
24	2.4	60.189765476275284	-130.80018261995556	122.57678177054527	132.83374677562023	94.20195083477167	202.68252280777864
25	2.5	60.19709573832043	-136.46775925552325	126.21892017254308	0.0	97.33106579661452	204.71948057238953
26	2.6	60.205220222291246	-134.1514348857954	124.73752433731995	899.9723179829491	100.45326860718338	208.8665358277691
27	2.7	60.18683493468933	-143.1533971874396	130.50315739887938	0.040825216716296464	103.59117922889831	212.7687428283589
28	2.8000000000000003	60.181716661213784	-137.24476246959514	126.70772828290987	0.0	106.78113572374733	213.76899047667445
29	2.9	60.16484409586417	-144.04349804976698	131.06030783514234	0.0	110.00787762347932	220.82236892776547
30	3.0	60.17195767375998	-140.6716617534618	128.90083878201156	62.71730065657884	113.21919610173427	220.87409693867565
31	3.1	60.14222834379237	-134.78847625869432	125.10594759886831	2.8429676773138977	116.35704341872982	226.38230101770654
32	3.2	60.177284010198775	-124.64504527219475	118.61842232323693	118.93501715822968	119.42269429131608	229.20809635867542
33	3.3000000000000003	60.188303580284355	-126.18195843621288	119.6118809572385	449.1721250196838	122.4208893835066	233.88831148903145
34	3.4	60.21435707235145	-123.4521019981564	117.87658825223127	0.0	125.43718421438369	237.15942198264574
35	3.5	60.16180942591596	-125.59064495662916	119.21537385161339	3.3981284654055637	128.4486836111785	240.1521401747344
36	3.6	60.16200064697318	-123.07738514458202	117.6024938894859	549.4154838049766	131.4112108829908	244.0089221255589
37	3.7	60.14985097061174	-122.6953258820698	117.34949176265161	220.81815050990173	134.3249137954376	251.58497941319837
38	3.8000000000000003	60.147392237757416	-116.33353722494927	113.26493667883301	395.0230898886852	137.18852554840404	257.2338340449359
39	3.9	60.15816548260723	-115.48412017904651	112.72669757667309	0.0	139.98363381340548	261.8212549802623
40	4.0	60.17434470716485	-112.96450220824998	111.1199980203224	6.87553933048897	142.74876854119643	271.1049079053639
41	4.1	60.14733929984119	-113.58948256135828	111.5037765655512	0.0	145.53611080793004	282.57040914000083
42	4.2	60.15635339259566	-114.79421392354169	112.28275479575602	0.0	148.3301986153715	283.154246356852
43	4.3	60.1528904332323	-119.99409992479212	115.61780367943805	0.0	151.15656726649354	283.23638776336736
44	4.4	60.100027742693186	-127.485748560648	120.3919944185102	65.78885515285543	154.0443522887449	290.3944343660577
45	4.5	60.10457768960181	-124.20069649347657	118.28657789527693	14.564376537351661	157.02412951444356	291.6172719551698
46	4.6000000000000005	60.11669564948909	-135.0279260036841	125.24323892702651	202.83465317404148	160.04611852276952	293.1271555792075
47	4.7	60.08940381105262	-134.00170388465799	124.56709679628439	0.0	163.1419813600679	296.6614856347326
48	4.8	60.09232254390355	-129.72064063805593	121.8213963462235	0.0	166.21332758945363	296.9404564958756
49	4.9	60.08938603793514	-126.84914702216601	119.97659562621814	0.0	169.20159109478033	297.8228248075251
