s	t	H	V	T	P
0	0.0	698.8138574660865	-661.5561136564132	873.0814094649015	0.0
1	0.04	699.7233896790083	-325.1140594782148	657.7376328325539	0.0
2	0.08	700.2519099318315	-306.0704866163963	645.8547270265401	0.0
3	0.12	700.2440712232637	-213.1921158753951	586.2406335169892	0.0
4	0.16	700.2657604949061	-153.30569037110067	547.8196235000445	0.0
5	0.2	700.3474146944386	-114.35459753997722	522.8733331628822	251475.3020986119
6	0.24	700.2928507492942	-100.85922546826217	514.1770244476896	239199.15160228944
7	0.28	700.0346790854285	-45.35726150037108	478.39033491266724	1973445.806605436
8	0.32	700.3359786641985	-78.65820471029602	499.95615459253554	637011.8952213514
9	0.36	700.2979815443034	-48.2937270799838	480.44393654186104	1827716.0600990104
10	0.4	699.8818444156989	-73.84725494632717	496.5770393017416	792417.3779391635
11	0.44	700.3279451750429	-27.92105465016352	467.3880464181029	498979.4595263301
12	0.48	700.3875828154121	-65.3753230617298	491.46435996928477	297937.45407358813
13	0.52	700.4187936521175	-70.09878014585868	494.5158917275419	5809.37838230736
14	0.56	700.4033010287978	-45.4083195278962	478.65968427224647	884089.8820822813
15	0.6	700.4283012938236	-66.45067087925506	492.1806480051849	267853.2950471892
16	0.64	700.3508846530909	-70.70381952663661	494.86062041217974	229546.82696145686
17	0.68	700.2911851756564	-54.129051721442636	484.18466868646556	484922.245882794
18	0.72	700.4645229200197	-65.19509978328075	491.39807313488996	124870.2643762073
19	0.76	700.4208665242833	-51.46782440826556	482.55993000083356	715046.4721410995
20	0.8	700.2022323642119	-70.78031438565274	494.8143099878795	108276.1718006391
21	0.84	700.3612329470259	-57.856934700351744	486.62216936855367	189065.47605807532
22	0.88	700.3315641914731	-62.531837293615254	489.6034666570964	2018.1945163952687
23	0.92	700.5303958733316	-41.33436399926512	476.1266008007039	142452.60463898038
24	0.96	700.3205732451398	-56.28641416328883	485.58811867368064	35436.76853009797
25	1.0	700.4129089364	-59.19116350090233	487.5116389489305	76016.80637760133
26	1.04	700.3225732081722	-50.76847341909976	482.0480042533635	396139.44016315736
27	1.08	700.3417652752682	-48.91922083627289	480.8734768465567	19560.22517963985
28	1.12	700.191206886344	-46.12263081487288	478.98200574486447	478805.3446590096
29	1.16	700.3120374774735	-33.564375836007805	470.99970369096275	501777.12460584915
30	1.2	700.3085364968152	-50.13960294746077	481.6353883316653	215589.67727565544
31	1.24	700.3644034894794	-41.52874672153516	476.1448216356291	484874.32912145223
32	1.28	700.3395992539556	-40.41714625384574	475.4154804703098	235988.6562857718
33	1.32	700.4330847189815	-53.6432728639781	483.96396796339167	396493.7720445748
34	1.36	700.3835108977382	-40.14855459737949	475.27128150508963	678471.0039852195
35	1.4000000000000001	700.5441944283915	-50.70713380626649	482.15087251321813	129667.13286507346
36	1.44	700.596170883429	-39.054190894102156	474.7054066763136	388134.62033149
37	1.48	700.4037965009472	-27.24016687726519	466.99973582235856	424278.1216703192
38	1.52	700.4469157633417	-22.590945856290926	464.0435533860458	1023533.9988692942
39	1.56	700.1222755544748	-31.847205132468574	469.7758399916203	377616.40774611064
40	1.6	700.114773481769	-34.046442762844094	471.1824893667794	543187.7253499221
41	1.6400000000000001	700.0671290374204	-44.29651248706446	477.73037562742707	57470.7558689268
42	1.68	700.1124180748824	-40.37936671593145	475.24542946863306	354652.8760572221
43	1.72	700.162724256232	-43.713054940090515	477.4172670333397	209803.645508652
44	1.76	700.0409384887927	-40.79905822780541	475.468910849	77721.90374538214
45	1.8	700.3292283613763	-28.961856176306547	468.0568532933384	1022016.5214396544
46	1.84	700.2854289502852	-40.438674541066646	475.3945309210442	277619.95655072347
47	1.8800000000000001	700.2136529319077	-36.83486431607783	473.0355505803357	612103.9912318785
48	1.92	700.3568623171587	-46.8055342454153	479.5266083032966	118382.94536896203
49	1.96	700.4133398642247	-48.08592889212106	480.3846089090065	80111.28747287767
