s	t	H	V	T	P
0	0.0	-606.8576598405975	-668.8814983224311	39.80671543158191	0.0
1	0.04	-606.8270852393147	-632.4978863849295	16.475443976327227	0.0
2	0.08	-606.8232873210892	-636.0870618829204	18.781403649791354	0.0
3	0.12	-606.8198079557866	-639.8601329718277	21.20518252132605	0.0
4	0.16	-606.8075975559336	-638.3946429553345	20.272471977152534	0.0
5	0.2	-606.8188734432463	-639.4409410613258	20.93674616483247	0.0
6	0.24	-606.8269155932802	-640.700731985871	21.740114812733793	0.0
7	0.28	-606.8188545151406	-640.3534013121821	21.522372593367994	0.0
8	0.32	-606.8181478160159	-638.6262371526685	20.414337319953592	0.0
9	0.36	-606.8226123400796	-642.7995639436961	23.089900748410127	0.0
10	0.4	-606.8189416332999	-639.4428836689041	20.937949160435874	0.0
11	0.44	-606.8186189602824	-639.4138978763555	20.919553255401933	0.0
12	0.48	-606.8182610679437	-638.7737975374821	20.50896845217062	0.0
13	0.52	-606.8175276878652	-639.9370737303797	21.256026340963952	0.0
14	0.56	-606.8183527477453	-638.3540763551476	20.239533803386998	0.0
15	0.6	-606.820821814527	-639.367535258004	20.888384079247125	0.0
16	0.64	-606.8212995738904	-639.8830347365812	21.21892348989376	0.0
17	0.68	-606.8199464048311	-640.6498121648679	21.711907427219785	0.0
18	0.72	-606.8231414721823	-640.018968083077	21.30498298332589	0.0
19	0.76	-606.8176167861911	-640.9666937647744	21.91677623976459	0.0
20	0.8	-606.8236390558767	-641.8015081932421	22.44869258715789	0.0
21	0.84	-606.8270107628831	-640.1944619455356	21.415131124044937	0.0
22	0.88	-606.8210104574938	-637.8802539937523	19.93373030806799	0.0
23	0.92	-606.8197502852536	-639.598150442534	21.037079924447948	0.0
24	0.96	-606.8282111041445	-644.0921346340353	23.91587551055965	0.0
25	1.0	-606.8343790976477	-643.2100758893457	23.34581422652097	0.0
26	1.04	-606.825832273634	-639.7436768492474	21.126574938219633	0.0
27	1.08	-606.8210979024616	-640.9724329507881	21.918225462223155	0.0
28	1.12	-606.8243896259883	-641.0698796239888	21.978653829442756	0.0
29	1.16	-606.8265220324952	-638.6432348901105	20.41987187011013	0.0
30	1.2	-606.8224427043297	-638.5607393907488	20.369544604200065	0.0
31	1.24	-606.8246741035	-642.970035663052	23.19798575823636	0.0
32	1.28	-606.8160816715617	-638.8188606681587	20.539288565806313	0.0
33	1.32	-606.8206107248426	-639.8643446400329	21.207370342681273	0.0
34	1.36	-606.822629427826	-642.7603112281233	23.064697505204908	0.0
35	1.4000000000000001	-606.8188857379345	-640.1812695709098	21.411878914063585	0.0
36	1.44	-606.8218712748499	-639.2729606774923	20.827012853681474	0.0
37	1.48	-606.8253806384905	-641.354629297703	22.160769295924624	0.0
38	1.52	-606.818583049624	-640.0683054882826	21.33957316560519	0.0
39	1.56	-606.825879764561	-641.9655550181382	22.552539272251636	0.0
40	1.6	-606.8226527201257	-639.7896813083593	21.15814109152579	0.0
41	1.6400000000000001	-606.8173796157678	-637.3650271196057	19.605389493036746	0.0
42	1.68	-606.8251549316307	-641.8136384786011	22.455504883735514	0.0
43	1.72	-606.8188677982209	-637.5984716819573	19.75425840913691	0.0
44	1.76	-606.8276147464642	-642.7463190844609	23.0525178262313	0.0
45	1.8	-606.8244225319373	-638.112934903148	20.08087436579907	0.0
46	1.84	-606.822629790403	-641.3210996377715	22.14101554584417	0.0
47	1.8800000000000001	-606.8228566783043	-640.3481018155677	21.516402815732572	0.0
48	1.92	-606.8272051380518	-640.821495069817	21.817434372572947	0.0
49	1.96	-606.8279288842732	-643.4944312096025	23.532452354804203	0.0
