s	t	H	V	T	P
0	0.0	116.88750757431886	-103.76465038773615	655.6199074803673	0.0
1	0.02	116.88750759047937	-29.896630700611382	436.1371493250457	0.0
2	0.04	116.88750759758491	-54.44177926847427	509.0677210739974	0.0
3	0.06	116.88750761352148	-55.483215547847045	512.1621225694716	0.0
4	0.08	116.88750760254224	-43.073435930373805	475.28916085904547	10605.400042500616
5	0.09999999999999999	116.88750761137246	-24.373310403188356	419.7258041466055	147257.0802770932
6	0.12	116.8875076083722	-24.66032187942674	420.5785963298686	0.0
7	0.13999999999999999	116.8875076067716	-12.845478385293944	385.47335797140306	203109.83693863943
8	0.16	116.88750759850737	-13.963774568415085	388.79613188608835	102819.99254905431
9	0.18	116.88750760789623	-10.637144338781283	378.9117735486845	118954.32191602269
10	0.19999999999999998	116.8875076218034	6.536677520362206	327.8834963124636	580491.9236779008
11	0.22	116.88750761333533	-5.081986913452868	362.40583122160774	217240.0319813632
12	0.24	116.887507598406	-11.53209419925319	381.57092242771375	57073.25539122494
13	0.26	116.88750760409951	-4.747003665266975	361.4105013129102	31096.167514473615
14	0.27999999999999997	116.88750761964111	-4.3494741662936125	360.22932889404325	244707.48718743474
15	0.3	116.8875076154361	-9.112232093831448	374.38082842111265	137014.47104730504
16	0.32	116.88750761953663	-8.282431192316722	371.91525549123725	11891.146230047774
17	0.33999999999999997	116.88750761968146	-10.280431315719554	377.851878401453	104573.27190538899
18	0.36	116.8875076290654	-13.747566531532922	388.15371680883754	29655.734673228544
19	0.38	116.8875076286389	-12.789506506382278	385.3070497690457	89598.08934480695
20	0.39999999999999997	116.88750760377427	-13.457806094291689	387.29275660164296	261.4352299415076
21	0.42	116.88750762010659	-8.238143024792315	371.78366283341177	207048.88583850703
22	0.44	116.88750762254105	-17.82805111332928	400.2779894396765	0.0
