s	t	H	V	T	P
0	0.0	-669.2932042415675	-669.2971630409444	0.0025407456891125965	0.0
1	0.02	-669.2934548756193	-670.885025703223	1.0214654328784827	0.0
2	0.04	-669.2939390638994	-673.9175070381663	2.967392201695522	0.0
3	0.06	-669.2942003191185	-675.6660399166191	4.089427740072558	0.0
4	0.08	-669.2940379523499	-674.772162240202	3.515843907165391	0.0
5	0.1	-669.2935533555179	-672.5062799239807	2.0619183752669157	0.0
6	0.12	-669.2934399779108	-671.6610860264626	1.519548206050081	0.0
7	0.14	-669.2936998951571	-673.0267465600318	2.3958582686720624	0.0
8	0.16	-669.2940959754862	-674.9529064865368	3.6318077888812503	0.0
9	0.18	-669.2940144883886	-675.1397013822227	3.751744496644468	0.0
10	0.2	-669.2936990102514	-673.6998899618537	2.8278802737920796	0.0
11	0.22	-669.2935925552504	-672.2400378133453	1.8910198206786597	0.0
12	0.24	-669.2935874532228	-671.4554488817241	1.3874762477344744	0.0
13	0.26	-669.2936167954721	-671.4177673800599	1.3632735400483742	0.0
14	0.28	-669.2937139614387	-671.9478614591196	1.7034239856756677	0.0
15	0.3	-669.2937624444412	-672.5825560470697	2.1107379720038706	0.0
16	0.32	-669.2937886512083	-673.075813372366	2.427292239812438	0.0
17	0.34	-669.293756026849	-673.426323159384	2.652269318915345	0.0
18	0.36	-669.2938190778224	-673.8385825767866	2.9168157233624954	0.0
19	0.38	-669.2938950267169	-674.0185678805424	3.032281013285503	0.0
20	0.4	-669.2938001903254	-673.699341766768	2.8274635067421183	0.0
21	0.42	-669.2937254589247	-673.3116661268162	2.578702394154268	0.0
22	0.44	-669.2937343161052	-673.2975227325052	2.569619521155211	0.0
23	0.46	-669.2938312056564	-673.4565840269515	2.671642404361123	0.0
24	0.48	-669.2936466130185	-673.3269560136251	2.588566001191601	0.0
25	0.5	-669.2938407167527	-673.5600356714681	2.7380312585417306	0.0
26	0.52	-669.2940912473823	-673.1517231431392	2.4758167000445197	0.0
27	0.54	-669.2935692049164	-671.2519890309627	1.256908031156869	0.0
28	0.56	-669.2935003102652	-670.5725353138515	0.8208808687276689	0.0
29	0.58	-669.293751121128	-671.8233731349235	1.6235038997483693	0.0
30	0.6	-669.2939036600395	-673.4212022410485	2.6488879781846917	0.0
31	0.62	-669.2939244845927	-674.3947075254613	3.2736674149176723	0.0
32	0.64	-669.2940357651088	-674.4608836924572	3.3160676629592727	0.0
33	0.66	-669.2939380913133	-673.334815759166	2.593423292645109	0.0
34	0.68	-669.2934345123984	-672.1199946495642	1.8140779059226795	0.0
35	0.7000000000000001	-669.2938821921451	-673.1616234385128	2.4823048512588697	0.0
36	0.72	-669.2940752482807	-674.5460072744836	3.3706743850479675	0.0
37	0.74	-669.2940326435487	-674.670751923044	3.4507624738036267	0.0
38	0.76	-669.2939365932795	-673.7603435106164	2.8665267018608303	0.0
39	0.78	-669.2939660785352	-672.3039078497327	1.9317716943105194	0.0
40	0.8	-669.2934184528925	-670.966230711948	1.0736059424343054	0.0
41	0.8200000000000001	-669.294135307793	-671.8696873729984	1.652981670408601	0.0
42	0.84	-669.293812803642	-672.2608695459385	1.9042482100578983	0.0
43	0.86	-669.29389183604	-672.7403014512812	2.2118954610453416	0.0
44	0.88	-669.2939576059964	-673.5051953263703	2.702759868671582	0.0
45	0.9	-669.2941062144307	-673.7783693665791	2.8779867803599952	0.0
46	0.92	-669.293866420435	-673.4451924885898	2.6643087481137315	0.0
47	0.9400000000000001	-669.2940444277289	-673.5123719926082	2.70731010983031	0.0
48	0.96	-669.2938295197537	-673.4360166161082	2.658443383139659	0.0
49	0.98	-669.2941493311097	-673.9595667326898	2.9942510399230806	0.0
